Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      4.42     0.00   172576     0.00     0.00  boost::multi_index::detail::index_node_base<std::pair<std::string const, boost::property_tree::basic_ptree<std::string, std::string, std::less<std::string> > >, std::allocator<std::pair<std::string const, boost::property_tree::basic_ptree<std::string, std::string, std::less<std::string> > > > >::value()
  0.00      4.42     0.00   159051     0.00     0.00  boost::multi_index::detail::ordered_index<boost::multi_index::member<std::pair<std::string const, boost::property_tree::basic_ptree<std::string, std::string, std::less<std::string> > >, std::string const, &std::pair<std::string const, boost::property_tree::basic_ptree<std::string, std::string, std::less<std::string> > >::first>, std::less<std::string>, boost::multi_index::detail::nth_layer<2, std::pair<std::string const, boost::property_tree::basic_ptree<std::string, std::string, std::less<std::string> > >, boost::multi_index::indexed_by<boost::multi_index::sequenced<boost::multi_index::tag<mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na> >, boost::multi_index::ordered_non_unique<boost::multi_index::tag<boost::property_tree::basic_ptree<std::string, std::string, std::less<std::string> >::subs::by_name, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na>, boost::multi_index::member<std::pair<std::string const, boost::property_tree::basic_ptree<std::string, std::string, std::less<std::string> > >, std::string const, &std::pair<std::string const, boost::property_tree::basic_ptree<std::string, std::string, std::less<std::string> > >::first>, std::less<std::string> >, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na>, std::allocator<std::pair<std::string const, boost::property_tree::basic_ptree<std::string, std::string, std::less<std::string> > > > >, boost::mpl::v_item<boost::property_tree::basic_ptree<std::string, std::string, std::less<std::string> >::subs::by_name, boost::mpl::vector0<mpl_::na>, 0>, boost::multi_index::detail::ordered_non_unique_tag>::header() const
  0.00      4.42     0.00   152379     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::string>::operator*() const
  0.00      4.42     0.00   143876     0.00     0.00  boost::multi_index::detail::ordered_index_node<boost::multi_index::detail::index_node_base<std::pair<std::string const, boost::property_tree::basic_ptree<std::string, std::string, std::less<std::string> > >, std::allocator<std::pair<std::string const, boost::property_tree::basic_ptree<std::string, std::string, std::less<std::string> > > > > >::from_impl(boost::multi_index::detail::ordered_index_node_impl<std::allocator<char> >*)
  0.00      4.42     0.00   131557     0.00     0.00  boost::multi_index::detail::const_member_base<std::pair<std::string const, boost::property_tree::basic_ptree<std::string, std::string, std::less<std::string> > >, std::string const, &std::pair<std::string const, boost::property_tree::basic_ptree<std::string, std::string, std::less<std::string> > >::first>::operator()(std::pair<std::string const, boost::property_tree::basic_ptree<std::string, std::string, std::less<std::string> > > const&) const
  0.00      4.42     0.00   127452     0.00     0.00  std::less<std::string>::operator()(std::string const&, std::string const&) const
  0.00      4.42     0.00   127452     0.00     0.00  bool std::operator< <char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      4.42     0.00   126781     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::string>::operator++()
  0.00      4.42     0.00   114967     0.00     0.00  boost::multi_index::detail::sequenced_index<boost::multi_index::detail::nth_layer<1, std::pair<std::string const, boost::property_tree::basic_ptree<std::string, std::string, std::less<std::string> > >, boost::multi_index::indexed_by<boost::multi_index::sequenced<boost::multi_index::tag<mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na> >, boost::multi_index::ordered_non_unique<boost::multi_index::tag<boost::property_tree::basic_ptree<std::string, std::string, std::less<std::string> >::subs::by_name, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na>, boost::multi_index::member<std::pair<std::string const, boost::property_tree::basic_ptree<std::string, std::string, std::less<std::string> > >, std::string const, &std::pair<std::string const, boost::property_tree::basic_ptree<std::string, std::string, std::less<std::string> > >::first>, std::less<std::string> >, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na, mpl_::na>, std::allocator<std::pair<std::string const, boost::property_tree::basic_ptree<std::string, std::string, std::less<std::string> > > > >, boost::mpl::vector0<mpl_::na> >::header() const
  0.00      4.42     0.00   107475     0.00     0.00  boost::multi_index::detail::ordered_index_node_compressed_base<std::allocator<char> >::parent_ref::parent_ref(unsigned int*)
  0.00      4.42     0.00   107475     0.00     0.00  boost::multi_index::detail::ordered_index_node_compressed_base<std::allocator<char> >::parent()
  0.00      4.42     0.00   105257     0.00     0.00  boost::multi_index::detail::ordered_index_node_compressed_base<std::allocator<char> >::right()
  0.00      4.42     0.00    92921     0.00     0.00  boost::multi_index::detail::ordered_index_node_compressed_base<std::allocator<char> >::parent_ref::operator boost::multi_index::detail::ordered_index_node_impl<std::allocator<char> >*() const
  0.00      4.42     0.00    88207     0.00     0.00  boost::detail::iterator_base<std::bidirectional_iterator_tag, std::pair<std::string const, boost::property_tree::basic_ptree<std::string, std::string, std::less<std::string> > >, int, std::pair<std::string const, boost::property_tree::basic_ptree<std::string, std::string, std::less<std::string> > > const*, std::pair<std::string const, boost::property_tree::basic_ptree<std::string, std::string, std::less<std::string> > > const&>::iterator_base()
  0.00      4.42     0.00    88207     0.00     0.00  boost::iterator<std::bidirectional_iterator_tag, std::pair<std::string const, boost::property_tree::basic_ptree<std::string, std::string, std::less<std::string> > >, int, std::pair<std::string const, boost::property_tree::basic_ptree<std::string, std::string, std::less<std::string> > > const*, std::pair<std::string const, boost::property_tree::basic_ptree<std::string, std::string, std::less<std::string> > > const&>::iterator()
  0.00      4.42     0.00    88207     0.00     0.00  std::iterator<std::bidirectional_iterator_tag, std::pair<std::string const, boost::property_tree::basic_ptree<std::string, std::string, std::less<std::string> > >, int, std::pair<std::string const, boost::property_tree::basic_ptree<std::string, std::string, std::less<std::string> > > const*, std::pair<std::string const, boost::property_tree::basic_ptree<std::string, std::string, std::less<std::string> > > const&>::iterator()
  0.00      4.42     0.00    84033     0.00     0.00  boost::multi_index::detail::ordered_index_node<boost::multi_index::detail::index_node_base<std::pair<std::string const, boost::property_tree::basic_ptree<std::string, std::string, std::less<std::string> > >, std::allocator<std::pair<std::string const, boost::property_tree::basic_ptree<std::string, std::string, std::less<std::string> > > > > >::right()
  0.00      4.42     0.00    83046     0.00     0.00  boost::optional_detail::aligned_storage<std::string>::address()
  0.00      4.42     0.00    76459     0.00     0.00  boost::multi_index::detail::ordered_index_node_compressed_base<std::allocator<char> >::left()
  0.00      4.42     0.00    69797     0.00     0.00  boost::multi_index::detail::sequenced_index_node_impl<std::allocator<char> >::next()
  0.00      4.42     0.00    64593     0.00     0.00  bool __gnu_cxx::operator==<char*, char const*, std::string>(__gnu_cxx::__normal_iterator<char*, std::string> const&, __gnu_cxx::__normal_iterator<char const*, std::string> const&)
